actual,predicted
14294.0,14390.71
13901.0,13922.785
13320.0,13265.72
12703.0,12690.735
12306.0,12276.96
12052.0,12035.985
12110.0,12040.4
12202.0,12190.28
12557.0,12557.65
13638.0,13487.025
15465.0,15331.17
16248.0,16316.29
16261.0,16226.145
16199.0,16190.215
16248.0,16180.68
16035.0,16063.465
15818.0,15846.175
15715.0,15720.905
15516.0,15509.335
15287.0,15298.315
15491.0,15502.05
16490.0,16348.78
17380.0,17188.72
17450.0,17439.96
17306.0,17336.76
16945.0,16930.38
16027.0,16042.43
15170.0,15178.9
14629.0,14602.28
14279.0,14220.475
14354.0,14298.65
14340.0,14386.0
14729.0,14684.215
15675.0,15626.61
17263.0,17251.195
18034.0,18023.285
17752.0,17806.2
17332.0,17440.395
17044.0,17098.865
16573.0,16618.135
16365.0,16311.455
16104.0,16096.335
15926.0,15880.43
15639.0,15676.045
15843.0,15845.57
16869.0,16807.26
17629.0,17466.46
17718.0,17706.35
17598.0,17599.245
17190.0,17194.105
16360.0,16314.865
15367.0,15437.535
14753.0,14706.595
14485.0,14438.215
14400.0,14371.905
14454.0,14434.335
14692.0,14705.94
15690.0,15628.155
17290.0,17249.965
17897.0,17925.88
17583.0,17638.465
17252.0,17276.565
16923.0,16938.87
16475.0,16511.945
16221.0,16200.285
16028.0,16003.805
15643.0,15696.675
15517.0,15482.14
15711.0,15712.225
16597.0,16593.85
17045.0,17034.955
16887.0,16926.745
16709.0,16738.875
16153.0,16204.455
15267.0,15324.135
14373.0,14370.27
13727.0,13732.295
13447.0,13437.27
13341.0,13323.45
13330.0,13356.185
13597.0,13599.455
14394.0,14341.185
15955.0,15843.22
16668.0,16684.765
16621.0,16624.85
16606.0,16590.715
16377.0,16424.32
16365.0,16301.91
16224.0,16242.5
16167.0,16138.05
16113.0,16082.935
16134.0,16079.695
16310.0,16311.21
17013.0,17009.895
17321.0,17282.57
17159.0,17177.21
16847.0,16912.23
16369.0,16372.335
15488.0,15508.905
14636.0,14605.325
13823.0,13820.4
13493.0,13496.76
13245.0,13252.66
13201.0,13212.025
13382.0,13380.245
14232.0,14180.935
15727.0,15746.735
16515.0,16544.1
16697.0,16600.39
16765.0,16711.265
16721.0,16726.525
16597.0,16578.87
16468.0,16451.98
16287.0,16305.26
16091.0,16114.465
15888.0,15902.945
15803.0,15898.165
16546.0,16548.25
16877.0,16876.015
16580.0,16662.09
16369.0,16410.115
16227.0,16134.965
15318.0,15443.18
14434.0,14468.125
13655.0,13730.6
13368.0,13328.38
13192.0,13202.2
13118.0,13142.71
13221.0,13241.13
13611.0,13594.35
14192.0,14170.19
14701.0,14727.975
15171.0,15154.35
15406.0,15449.79
15375.0,15386.715
15012.0,15083.04
14598.0,14620.545
14279.0,14268.795
13829.0,13919.015
13780.0,13676.26
14022.0,14000.035
14996.0,14914.815
15634.0,15467.01
15679.0,15711.025
15587.0,15619.08
15399.0,15348.27
14835.0,14836.95
14257.0,14220.575
13754.0,13741.47
13528.0,13540.045
13497.0,13458.55
13572.0,13553.54
13681.0,13697.375
14001.0,14016.655
14490.0,14496.53
15050.0,15029.965
15337.0,15297.71
15186.0,15252.735
14614.0,14766.505
14250.0,14279.56
13986.0,13955.805
13659.0,13680.13
13365.0,13373.795
13241.0,13230.62
13570.0,13516.075
14811.0,14701.38
15629.0,15507.245
15877.0,15882.265
15870.0,15897.155
15649.0,15621.535
14996.0,15009.345
14470.0,14338.4
14126.0,14049.315
14036.0,13997.7
14060.0,14025.25
14252.0,14242.965
14747.0,14725.015
15767.0,15756.395
17495.0,17400.525
18161.0,18154.05
17962.0,18025.515
17580.0,17703.51
17167.0,17237.87
16659.0,16684.96
16276.0,16296.545
15959.0,15967.46
15681.0,15686.355
15497.0,15473.74
15723.0,15741.91
16714.0,16692.1
17269.0,17196.24
17344.0,17300.875
17159.0,17199.055
16677.0,16691.955
15726.0,15751.835
14877.0,14848.52
14221.0,14205.915
13842.0,13836.27
